Respondent_id,Program,Batch,Institution,Delivery_mode,Gender,Academic_year,Trainer_effectiveness,Curriculum_relevance,Pace_of_delivery,Support_Mentorship,Platform,Overall_satisfaction,Would_recommend,Open_feedback,Batch_date
STU-00238,UI/UX Design,Jul 2026 Batch,JIS College of Engineering,Online,Male,3rd Year,5.0,5.0,5.0,5.0,5.0,5,Yes,"Excellent program overall, would definitely recommend to my juniors.",2026-07-01
STU-00789,Competitive Programming,Oct 2025 Batch,Government College of Engineering & Textile Technology,Offline,Female,1st Year,4.0,4.0,3.0,4.0,4.0,4,No,Could use an extra week or two to cover everything properly.,2025-10-01
STU-00721,App Development (Android),Jul 2026 Batch,Maulana Azad College,Hybrid,Male,4th Year,5.0,5.0,5.0,5.0,5.0,5,Yes,"Really enjoyed the sessions, the trainer kept things engaging.",2026-07-01
STU-01296,Machine Learning,Feb 2025 Batch,Techno India University,Online,Female,4th Year,3.0,4.0,3.0,4.0,3.0,3,Yes,"Average experience, some sessions were better than others.",2025-02-01
STU-01410,Internet of Things (IoT),Jun 2025 Batch,Techno India University,Online,Female,4th Year,5.0,5.0,4.0,4.0,4.0,5,Yes,"Well-paced sessions and very approachable trainer, learned a lot.",2025-06-01
STU-01705,UI/UX Design,Sep 2025 Batch,St. Xavier's College Kolkata,Online,Female,1st Year,3.0,2.0,3.0,3.0,3.0,3,Yes,Curriculum could include more project-based learning.,2025-09-01
STU-00545,Weather Forecasting ML Project,Apr 2026 Batch,Independent / Working Professional,Offline,Female,1st Year,4.0,4.0,3.0,4.0,4.0,4,No,,2026-04-01
STU-01261,Cybersecurity & Ethical Hacking,Jul 2026 Batch,Government College of Engineering & Textile Technology,Offline,Female,3rd Year,2.0,3.0,3.0,2.0,3.0,2,No,Would appreciate a more engaging teaching style.,2026-07-01
STU-01885,Cloud Computing (AWS),Mar 2026 Batch,Techno India University,Online,Female,3rd Year,3.0,3.0,3.0,3.0,2.0,3,Yes,"Content was okay, though a few topics felt rushed.",2026-03-01
STU-01307,Advanced Excel & Power BI,Mar 2026 Batch,Neotia University,Online,Male,2nd Year,4.0,3.0,3.0,3.0,3.0,3,Yes,"Overall okay experience, a few sessions could have been better planned.",2026-03-01
STU-00846,Cloud Computing (AWS),Sep 2025 Batch,Heritage Institute of Technology,Offline,Female,4th Year,5.0,4.0,4.0,4.0,4.0,4,Yes,One of the best training experiences I have had so far.,2025-09-01
STU-00842,Weather Forecasting ML Project,Feb 2025 Batch,Techno India University,Online,Male,4th Year,4.0,5.0,5.0,4.0,4.0,4,Yes,One of the best training experiences I have had so far.,2025-02-01
STU-01318,AI in Biotechnology,Jul 2026 Batch,Techno India University,Hybrid,Female,Working Professional,4.0,5.0,3.0,4.0,4.0,4,No,"Content was okay, though a few topics felt rushed.",2026-07-01
STU-01546,Java Development,May 2025 Batch,JIS College of Engineering,Online,Male,2nd Year,5.0,5.0,5.0,5.0,5.0,5,Yes,"Well-paced sessions and very approachable trainer, learned a lot.",2025-05-01
STU-01648,Full Stack Development,Oct 2025 Batch,Techno India University,Hybrid,Male,3rd Year,5.0,4.0,4.0,5.0,4.0,5,Yes,The program content was up to date and industry relevant.,2025-10-01
STU-01734,App Development (Android),Jul 2026 Batch,Government College of Engineering & Textile Technology,Online,Female,2nd Year,4.0,4.0,4.0,4.0,3.0,3,Yes,Faced frequent audio/video issues during classes.,2026-07-01
STU-01057,Full Stack Development,May 2026 Batch,Narasingh Choudhuri Autonomous College,Online,Male,3rd Year,2.0,2.0,2.0,2.0,3.0,2,Yes,Explanations were sometimes too fast to follow properly. Some topics felt outdated compared to current industry trends.,2026-05-01
STU-01794,Cybersecurity & Ethical Hacking,Oct 2025 Batch,Government College of Engineering & Textile Technology,Online,Female,4th Year,5.0,5.0,5.0,5.0,5.0,5,Yes,"Great mentorship throughout the program, felt supported at every step.",2025-10-01
STU-00173,Advanced Excel & Power BI,Feb 2025 Batch,Neotia University,Offline,Female,Graduate,5.0,4.0,5.0,5.0,4.0,5,Yes,"Well-paced sessions and very approachable trainer, learned a lot.",2025-02-01
STU-01788,AI in Food Technology,Apr 2026 Batch,Government College of Engineering & Textile Technology,Online,Male,Working Professional,3.0,3.0,2.0,4.0,3.0,3,No,"Reasonably good, though I expected slightly more hands-on practice.",2026-04-01
STU-00836,Generative AI,Sep 2025 Batch,St. Xavier's College Kolkata,Online,Male,2nd Year,4.0,4.0,4.0,5.0,5.0,5,Yes,"Excellent program overall, would definitely recommend to my juniors.",2025-09-01
STU-00442,Web Development,Mar 2026 Batch,Techno India University,Online,Female,3rd Year,2.0,3.0,1.0,3.0,3.0,3,Yes,"Pace needs to slow down, especially for beginners in the batch.",2026-03-01
STU-01555,Networking Fundamentals,Jun 2025 Batch,Government College of Engineering & Textile Technology,Offline,Male,Graduate,5.0,5.0,5.0,4.0,3.0,4,Yes,Session quality varied depending on the trainer.,2025-06-01
STU-01376,Weather Forecasting ML Project,Jan 2026 Batch,St. Xavier's College Kolkata,Online,Female,4th Year,4.0,4.0,4.0,4.0,4.0,4,Yes,"Well-paced sessions and very approachable trainer, learned a lot.",2026-01-01
STU-00790,Blockchain Basics,Apr 2025 Batch,Neotia University,Online,Male,4th Year,4.0,4.0,4.0,4.0,3.0,4,Yes,"Overall okay experience, a few sessions could have been better planned.",2025-04-01
STU-00186,Full Stack Development,Feb 2026 Batch,Neotia University,Online,Female,2nd Year,4.0,4.0,3.0,4.0,3.0,4,Yes,Could use an extra week or two to cover everything properly.,2026-02-01
STU-00439,Cybersecurity & Ethical Hacking,May 2025 Batch,Techno India University,Online,Female,4th Year,3.0,4.0,3.0,3.0,2.0,3,No,"Decent program, could use a bit more structure in scheduling.",2025-05-01
STU-01004,Generative AI,Jul 2026 Batch,JIS College of Engineering,Online,Male,2nd Year,5.0,5.0,5.0,5.0,4.0,4,No,"Enjoyed every module, especially the live project work.",2026-07-01
STU-00141,Advanced Excel & Power BI,Jul 2025 Batch,Techno India University,Online,Male,4th Year,4.0,4.0,4.0,5.0,3.0,4,Yes,"Decent program, could use a bit more structure in scheduling.",2025-07-01
STU-01278,Networking Fundamentals,Mar 2025 Batch,Government College of Engineering & Textile Technology,Online,Male,Working Professional,2.0,2.0,2.0,3.0,2.0,2,Yes,Would appreciate a more engaging teaching style.,2025-03-01
STU-01397,AI in Biotechnology,Feb 2026 Batch,St. Xavier's College Kolkata,Online,Male,2nd Year,4.0,3.0,4.0,4.0,3.0,4,No,"Decent program, could use a bit more structure in scheduling.",2026-02-01
STU-01470,Internet of Things (IoT),Feb 2025 Batch,Techno India University,Offline,Female,3rd Year,4.0,5.0,4.0,5.0,5.0,5,Yes,The trainer's real-world examples made the sessions very useful.,2025-02-01
STU-00587,Digital Marketing,Feb 2026 Batch,Maulana Azad College,Online,Female,Graduate,4.0,4.0,4.0,4.0,4.0,4,No,The trainer explained concepts clearly and was always ready to help.,2026-02-01
STU-00849,Blockchain Basics,Feb 2026 Batch,JIS College of Engineering,Online,Male,3rd Year,5.0,4.0,4.0,4.0,4.0,4,Yes,"Loved the hands-on projects, they really built my confidence.",2026-02-01
STU-00300,Machine Learning,Jul 2026 Batch,Techno India University,Online,Female,1st Year,4.0,3.0,3.0,4.0,2.0,3,No,Recorded session links took too long to be uploaded.,2026-07-01
STU-00796,Agentic AI,May 2025 Batch,Government College of Engineering & Textile Technology,Online,Female,Graduate,4.0,4.0,3.0,5.0,4.0,4,Yes,"The program was decent overall, nothing major to complain about.",2025-05-01
STU-01413,Networking Fundamentals,Oct 2025 Batch,Direct / Online (ASD),Online,Male,3rd Year,5.0,3.0,3.0,4.0,4.0,4,Yes,"The program was decent overall, nothing major to complain about.",2025-10-01
STU-00354,AI in Food Technology,Mar 2025 Batch,Techno India University,Online,Prefer not to say,Graduate,4.0,4.0,4.0,4.0,4.0,4,No,The program content was up to date and industry relevant.,2025-03-01
STU-01071,Blockchain Basics,Mar 2025 Batch,St. Xavier's College Kolkata,Online,Male,Graduate,5.0,4.0,4.0,5.0,4.0,4,Yes,"Clear explanations, useful resources, and prompt doubt-clearing sessions.",2025-03-01
STU-01465,Generative AI,Feb 2026 Batch,Government College of Engineering & Textile Technology,Online,Male,4th Year,4.0,4.0,2.0,5.0,4.0,4,No,"Pace needs to slow down, especially for beginners in the batch.",2026-02-01
STU-01687,App Development (Android),Jul 2026 Batch,Techno India University,Online,Male,Working Professional,4.0,3.0,3.0,3.0,2.0,4,No,No comments.,2026-07-01
STU-01845,Generative AI,Oct 2025 Batch,Government College of Engineering & Textile Technology,Offline,Male,Graduate,3.0,4.0,3.0,5.0,4.0,4,Yes,Would appreciate a more engaging teaching style.,2025-10-01
STU-00958,Internet of Things (IoT),Jul 2026 Batch,Government College of Engineering & Textile Technology,Hybrid,Male,Graduate,3.0,3.0,3.0,3.0,2.0,3,No,"Overall okay experience, a few sessions could have been better planned.",2026-07-01
STU-01535,Internet of Things (IoT),Feb 2025 Batch,Government College of Engineering & Textile Technology,Hybrid,Female,Working Professional,5.0,4.0,3.0,4.0,3.0,4,No,Session quality varied depending on the trainer.,2025-02-01
STU-01683,Generative AI,Aug 2026 Batch,Techno India University,Online,Male,Graduate,5.0,4.0,4.0,4.0,3.0,4,Yes,"Lab access was unreliable, lost a lot of time troubleshooting.",2026-08-01
STU-00716,AI in Biotechnology,Apr 2025 Batch,Techno India University,Hybrid,Female,4th Year,3.0,3.0,3.0,4.0,2.0,3,Yes,"Decent program, could use a bit more structure in scheduling.",2025-04-01
STU-01433,Cybersecurity & Ethical Hacking,Aug 2026 Batch,Neotia University,Online,Female,1st Year,5.0,5.0,5.0,5.0,4.0,5,Yes,"Really enjoyed the sessions, the trainer kept things engaging.",2026-08-01
STU-00424,Internet of Things (IoT),Aug 2025 Batch,JIS College of Engineering,Online,Female,Working Professional,5.0,5.0,5.0,5.0,4.0,5,Yes,"Great mentorship throughout the program, felt supported at every step.",2025-08-01
STU-00312,Advanced Excel & Power BI,Sep 2025 Batch,Government College of Engineering & Textile Technology,Online,Male,4th Year,3.0,4.0,4.0,3.0,2.0,3,Yes,"Decent program, could use a bit more structure in scheduling.",2025-09-01
STU-00782,Machine Learning,Oct 2025 Batch,Government College of Engineering & Textile Technology,Online,Female,3rd Year,5.0,5.0,5.0,5.0,5.0,5,Yes,The trainer explained concepts clearly and was always ready to help.,2025-10-01
STU-01382,AI in Biotechnology,Jun 2026 Batch,Narasingh Choudhuri Autonomous College,Online,Female,4th Year,4.0,4.0,3.0,4.0,4.0,4,No,"The program was decent overall, nothing major to complain about.",2026-06-01
STU-01681,Networking Fundamentals,May 2025 Batch,Neotia University,Hybrid,Male,3rd Year,5.0,5.0,5.0,5.0,4.0,5,No,"Enjoyed every module, especially the live project work.",2025-05-01
STU-00038,Web Development,Oct 2025 Batch,Techno India University,Online,Female,Graduate,2.0,2.0,3.0,3.0,4.0,3,Yes,The trainer could explain concepts more clearly.,2025-10-01
STU-00528,Java Development,Apr 2026 Batch,Maulana Azad College,Offline,Male,1st Year,5.0,4.0,4.0,5.0,5.0,4,Yes,"Enjoyed every module, especially the live project work.",2026-04-01
STU-00692,AI in Food Technology,Feb 2026 Batch,JIS College of Engineering,Offline,Male,3rd Year,5.0,4.0,4.0,4.0,4.0,5,Yes,The program content was up to date and industry relevant.,2026-02-01
STU-01241,AI in Food Technology,Feb 2026 Batch,Government College of Engineering & Textile Technology,Offline,Male,3rd Year,5.0,5.0,3.0,5.0,4.0,4,Yes,"Content was okay, though a few topics felt rushed.",2026-02-01
STU-00708,Advanced Excel & Power BI,Feb 2026 Batch,Neotia University,Hybrid,Male,Graduate,3.0,3.0,2.0,3.0,3.0,3,Yes,Struggled to keep up as new topics were introduced too quickly.,2026-02-01
STU-00059,Networking Fundamentals,Jan 2025 Batch,Neotia University,Online,Male,Graduate,4.0,3.0,3.0,4.0,3.0,4,Yes,Wanted more advanced/real-world case studies in the curriculum.,2025-01-01
STU-01497,Cybersecurity & Ethical Hacking,Jun 2025 Batch,Government College of Engineering & Textile Technology,Online,Male,2nd Year,5.0,4.0,5.0,5.0,3.0,5,Yes,The portal for assignments was confusing and slow to load.,2025-06-01
STU-01211,Advanced Excel & Power BI,May 2025 Batch,Independent / Working Professional,Online,Male,3rd Year,2.0,3.0,3.0,2.0,2.0,2,No,Explanations were sometimes too fast to follow properly. Too much content packed into too few sessions.,2025-05-01
STU-00128,DevOps,Nov 2025 Batch,St. Xavier's College Kolkata,Hybrid,Male,Working Professional,5.0,5.0,4.0,5.0,4.0,4,Yes,"Great balance of theory and practicals, exceeded my expectations.",2025-11-01
STU-00448,Digital Marketing,Jul 2026 Batch,Techno India University,Hybrid,Male,1st Year,5.0,4.0,4.0,4.0,4.0,5,Yes,The trainer's real-world examples made the sessions very useful.,2026-07-01
STU-00398,Python Programming,Jul 2026 Batch,Techno India University,Offline,Female,4th Year,4.0,3.0,3.0,4.0,3.0,3,Yes,"It was fine, but I expected a bit more depth in the later modules.",2026-07-01
STU-00230,Generative AI,Mar 2025 Batch,St. Xavier's College Kolkata,Online,Female,3rd Year,4.0,5.0,3.0,4.0,4.0,4,Yes,"Decent program, could use a bit more structure in scheduling.",2025-03-01
STU-01837,App Development (Android),Oct 2025 Batch,Techno India University,Hybrid,Male,4th Year,4.0,4.0,2.0,3.0,3.0,4,No,Too much content packed into too few sessions.,2025-10-01
STU-00035,Agentic AI,Jul 2026 Batch,St. Xavier's College Kolkata,Online,Male,4th Year,5.0,4.0,3.0,5.0,3.0,4,No,Too much content packed into too few sessions.,2026-07-01
STU-00971,Python Programming,Jan 2026 Batch,Narasingh Choudhuri Autonomous College,Hybrid,Male,4th Year,4.0,5.0,5.0,5.0,4.0,5,Yes,Practical assignments made the concepts much easier to understand.,2026-01-01
STU-01486,Web Development,Jan 2025 Batch,Techno India University,Online,Prefer not to say,3rd Year,5.0,5.0,4.0,5.0,4.0,4,Yes,"Well-paced sessions and very approachable trainer, learned a lot.",2025-01-01
STU-01151,DevOps,Jun 2026 Batch,Maulana Azad College,Offline,Female,1st Year,4.0,5.0,5.0,4.0,3.0,4,No,The portal for assignments was confusing and slow to load.,2026-06-01
STU-01806,Machine Learning,May 2025 Batch,Techno India University,Offline,Female,Working Professional,3.0,3.0,2.0,4.0,2.0,3,Yes,"It was fine, but I expected a bit more depth in the later modules.",2025-05-01
STU-00749,Cybersecurity & Ethical Hacking,Aug 2026 Batch,Direct / Online (ASD),Offline,Male,Graduate,4.0,4.0,4.0,5.0,3.0,4,Yes,Had connectivity issues on the platform almost every week.,2026-08-01
STU-01921,Weather Forecasting ML Project,Feb 2025 Batch,Techno India University,Offline,Female,Graduate,5.0,5.0,4.0,4.0,5.0,5,Yes,One of the best training experiences I have had so far.,2025-02-01
STU-00591,AI in Food Technology,Aug 2025 Batch,Neotia University,Online,Female,2nd Year,3.0,3.0,2.0,2.0,1.0,2,Yes,Faced frequent audio/video issues during classes. Could use an extra week or two to cover everything properly.,2025-08-01
STU-00858,Internet of Things (IoT),Feb 2026 Batch,JIS College of Engineering,Offline,Male,Working Professional,4.0,4.0,3.0,4.0,3.0,4,Yes,Could use an extra week or two to cover everything properly.,2026-02-01
STU-00411,Machine Learning,Mar 2026 Batch,Government College of Engineering & Textile Technology,Hybrid,Male,3rd Year,4.0,4.0,4.0,4.0,3.0,4,Yes,Faced frequent audio/video issues during classes.,2026-03-01
STU-01107,Blockchain Basics,Feb 2026 Batch,Techno India University,Online,Male,3rd Year,4.0,3.0,3.0,4.0,2.0,3,Yes,Recorded session links took too long to be uploaded.,2026-02-01
STU-01785,Blockchain Basics,Feb 2026 Batch,Narasingh Choudhuri Autonomous College,Offline,Male,1st Year,4.0,4.0,3.0,4.0,4.0,4,Yes,,2026-02-01
STU-01400,Full Stack Development,Nov 2025 Batch,St. Xavier's College Kolkata,Online,Female,Working Professional,5.0,5.0,3.0,4.0,4.0,4,Yes,"Average experience, some sessions were better than others.",2025-11-01
STU-00929,AI in Biotechnology,Sep 2025 Batch,Government College of Engineering & Textile Technology,Online,Male,1st Year,5.0,5.0,4.0,5.0,4.0,5,Yes,The curriculum was well structured and relevant to current industry needs.,2025-09-01
STU-00008,Competitive Programming,Aug 2026 Batch,Techno India University,Offline,Male,Graduate,3.0,4.0,4.0,4.0,3.0,3,Yes,"Content was okay, though a few topics felt rushed.",2026-08-01
STU-00722,Cybersecurity & Ethical Hacking,May 2025 Batch,Independent / Working Professional,Online,Male,Graduate,4.0,3.0,3.0,4.0,4.0,4,Yes,"The program was decent overall, nothing major to complain about.",2025-05-01
STU-01442,Networking Fundamentals,Apr 2025 Batch,Heritage Institute of Technology,Hybrid,Male,3rd Year,3.0,4.0,3.0,3.0,4.0,3,No,"Content was okay, though a few topics felt rushed.",2025-04-01
STU-01936,Python Programming,Oct 2025 Batch,Maulana Azad College,Offline,Female,Working Professional,4.0,5.0,3.0,4.0,3.0,4,No,Too much content packed into too few sessions.,2025-10-01
STU-00972,Cybersecurity & Ethical Hacking,Aug 2026 Batch,Government College of Engineering & Textile Technology,Online,Female,3rd Year,4.0,4.0,3.0,3.0,2.0,3,No,Session quality varied depending on the trainer.,2026-08-01
STU-01445,Java FDP (Faculty Development),May 2025 Batch,Techno India University,Online,Male,3rd Year,3.0,3.0,3.0,3.0,4.0,3,No,"Sessions felt monotonous, needed more interactive teaching.",2025-05-01
STU-00573,Cloud Computing (AWS),May 2025 Batch,Neotia University,Online,Female,Working Professional,4.0,4.0,3.0,4.0,3.0,3,No,"It was fine, but I expected a bit more depth in the later modules.",2025-05-01
STU-01952,UI/UX Design,Aug 2025 Batch,Government College of Engineering & Textile Technology,Hybrid,Male,1st Year,3.0,4.0,4.0,4.0,3.0,4,No,Session quality varied depending on the trainer.,2025-08-01
STU-01815,Java Development,Jul 2026 Batch,Government College of Engineering & Textile Technology,Hybrid,Female,Working Professional,3.0,3.0,1.0,3.0,1.0,2,Yes,Struggled to keep up as new topics were introduced too quickly.,2026-07-01
STU-01421,Cybersecurity & Ethical Hacking,Sep 2025 Batch,Heritage Institute of Technology,Online,Male,4th Year,2.0,3.0,3.0,3.0,3.0,2,No,Trainer seemed unprepared in a couple of sessions. Faced frequent audio/video issues during classes.,2025-09-01
STU-01577,Cybersecurity & Ethical Hacking,Aug 2026 Batch,Neotia University,Offline,Male,4th Year,5.0,4.0,4.0,4.0,3.0,4,Yes,Recorded session links took too long to be uploaded.,2026-08-01
STU-00021,Internet of Things (IoT),Mar 2025 Batch,Neotia University,Online,Prefer not to say,3rd Year,4.0,5.0,4.0,4.0,4.0,4,Yes,"Really enjoyed the sessions, the trainer kept things engaging.",2025-03-01
STU-00453,Full Stack Development,Aug 2025 Batch,St. Xavier's College Kolkata,Online,Female,3rd Year,3.0,3.0,2.0,4.0,3.0,3,Yes,Could use an extra week or two to cover everything properly.,2025-08-01
STU-00376,Weather Forecasting ML Project,Apr 2025 Batch,Neotia University,Online,Male,2nd Year,5.0,5.0,4.0,5.0,4.0,5,Yes,One of the best training experiences I have had so far.,2025-04-01
STU-01045,Database Management (SQL),Oct 2025 Batch,Techno India University,Hybrid,Female,4th Year,4.0,3.0,4.0,2.0,4.0,4,Yes,Doubt resolution took longer than expected outside class hours.,2025-10-01
STU-01853,Java Development,Sep 2025 Batch,St. Xavier's College Kolkata,Online,Male,3rd Year,4.0,4.0,3.0,3.0,5.0,4,Yes,Too much content packed into too few sessions.,2025-09-01
STU-00893,Web Development,Jul 2026 Batch,St. Xavier's College Kolkata,Hybrid,Male,4th Year,3.0,4.0,4.0,3.0,2.0,3,Yes,Nothing to add.,2026-07-01
